"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","TX Prohibit","Reverse","Simplex TDMA","TDMA Adaptive","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Through Mode","Digi APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation","Exclude channel from roaming"
"1","DMR Simplex 1","439.20000","439.20000","D-Digital","High","12.5K","Off","Off","ALL Calls","All Call","VKXXXX Name","Different Color Code","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","On","Off","Off","Off","Off","1","0","Off","off"
"2","DMR Simplex 2","439.20000","439.20000","D-Digital","High","12.5K","Off","Off","ALL Calls","All Call","VKXXXX Name","Always","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","On","Off","Off","Off","Off","1","0","Off","off"
"4","1RBM AU","438.81250","431.81250","D-Digital","High","12.5K","Off","Off","AU","Group Call","VKXXXX Name","Different Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"5","1RBM ACT","438.81250","431.81250","D-Digital","High","12.5K","Off","Off","ACT","Group Call","VKXXXX Name","Different Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"6","1RBM NSW","438.81250","431.81250","D-Digital","High","12.5K","Off","Off","NSW","Group Call","VKXXXX Name","Different Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"7","1RBM Vic","438.81250","431.81250","D-Digital","High","12.5K","Off","Off","Vic","Group Call","VKXXXX Name","Different Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"8","1RBM Qld","438.81250","431.81250","D-Digital","High","12.5K","Off","Off","Qld","Group Call","VKXXXX Name","Different Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"9","1RBM SA","438.81250","431.81250","D-Digital","High","12.5K","Off","Off","SA","Group Call","VKXXXX Name","Different Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"10","1RBM WA","438.81250","431.81250","D-Digital","High","12.5K","Off","Off","WA","Group Call","VKXXXX Name","Different Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"11","1RBM Tas","438.81250","431.81250","D-Digital","High","12.5K","Off","Off","Tas","Group Call","VKXXXX Name","Different Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"12","1RBM NT","438.81250","431.81250","D-Digital","High","12.5K","Off","Off","NT","Group Call","VKXXXX Name","Different Color Code","Carrier","Off","1","1","1","Off","1","2","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"13","1RBM Local","438.81250","431.81250","D-Digital","High","12.5K","Off","Off","Local","Group Call","VKXXXX Name","Different Color Code","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"14","1RBM State Link","438.81250","431.81250","D-Digital","High","12.5K","Off","Off","Worldwide","Group Call","VKXXXX Name","Different Color Code","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"15","1RBM AU Nets","438.81250","431.81250","D-Digital","High","12.5K","Off","Off","AU Nets","Group Call","VKXXXX Name","Different Color Code","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"16","1RBM AU Repeat 1","438.81250","431.81250","D-Digital","High","12.5K","Off","Off","AU Repeater 1","Group Call","VKXXXX Name","Different Color Code","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"17","1RBM AU Repeat 2","438.81250","431.81250","D-Digital","High","12.5K","Off","Off","AU Repeater 2","Group Call","VKXXXX Name","Different Color Code","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"18","1RBM User Act 1","438.81250","431.81250","D-Digital","High","12.5K","Off","Off","User Act Eng 1","Group Call","VKXXXX Name","Different Color Code","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","off"
"19","1RBM User Act 2","438.81250","431.81250","D-Digital","High","12.5K","Off","Off","User Act Eng 2","Group Call","VKXXXX Name","Different Color Code","Carrier","Off","1","1","1","Off","1","1","None","None","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","0","Off","Off","Off","Off","Off","Off","1","0","Off","off"
